title,categoryName,city,totalScore,reviewsCount
SAI RAMEN 再ラーメン SYNERGY,Restoran Ramen,Kota Tangerang,4.5,1556.0
Toko Kopi TUKU - Ciledug Karang Tengah,Kedai Kopi,Kota Tangerang,4.8,808.0
Baia Nonna Jakarta Premium Outlet,Restoran Asia Tenggara,Kota Tangerang,4.8,983.0
Saung mang pendi,Restoran,Kota Serang,4.5,1630.0
Coffee Rider Campus,Kedai Kopi,Kota Tangerang,4.7,732.0
Kulumanu Kopi,Kedai Kopi,Kota Tangerang,4.8,1346.0
Alun-Alun Kota Serang,Taman Kota,Kota Serang,4.3,9039.0
Negeri Di Atas Awan Citorek,Tujuan Wisata,Kabupaten Lebak,4.7,4467.0
Kuliner Nasi Jagal Ibu Zahra Tangerang,Restoran Indonesia,Kota Tangerang,4.5,2018.0
Myeong Ga Myeon Ok Korean Restaurant,Restoran Korea,Kota Tangerang,4.3,1111.0
Kopi Kenangan - Graha Raya Pinang Tangerang (FCK),Kedai Kopi,Kota Tangerang,4.0,519.0
Rumah Sambal Seruit- Kebon Nanas,Restoran Indonesia,Kota Tangerang,4.1,1090.0
Burger King Jatiuwung,Restoran Hamburger,Kota Tangerang,4.6,1290.0
Rumah Makan Dapur Kawalli,Rumah Makan,Kota Tangerang,4.4,1435.0
Formaggio Coffee and Resto,Restoran,Kota Tangerang,4.5,3095.0
Pempek Warung Pojok,Restoran Pempek,Kota Tangerang,4.5,1006.0
Starbucks Jatiuwung,Kedai Kopi,Kota Tangerang,4.6,801.0
"Kopi Janji Jiwa & Jiwa Toast, Pasar Lama Tangerang",Kedai Kopi,Kota Tangerang,4.5,646.0
Jinman BBQ & SHABU KISAMAUN,Restoran Barbeque,Kota Tangerang,4.9,10468.0
DOM Social Hub,Kafe,Kota Tangerang,4.9,2551.0
Kedai Seruput,Kedai Kopi,Kota Tangerang,4.7,555.0
Sambara Alam Sutera,Restoran,Kota Tangerang,4.8,2313.0
Bebek Boedjang - Tangerang,Restoran,Kota Tangerang,4.8,4453.0
Sandwich Attack,Kedai Kopi,Kota Tangerang,4.6,585.0
Nasi Jagal Kali Bayur,Restoran Sajian Khusus Daging,Kota Tangerang,4.5,2016.0
Lieben Cafe Cimone,Kedai Kopi,Kota Tangerang,4.3,920.0
Hotel Novotel Tangerang,Hotel,Kota Tangerang,4.6,12166.0
Saung Engkong,Restoran,Kota Tangerang,4.7,523.0
Ichiraku Ramen,Restoran Jepang,Kota Tangerang,4.7,1289.0
Math Coffee and Resto,Kafe,Kota Tangerang,4.6,700.0
Starbucks Tangcity,Kedai Kopi,Kota Tangerang,4.6,841.0
Nasi Timbel Khas Cianjur,Restoran Sunda,Kota Tangerang,4.6,727.0
KAWASAN KULINER LAKSA KHAS TANGERANG,Restoran Indonesia,Kota Tangerang,4.4,6529.0
"Gereja Katolik Paroki Hati Santa Perawan Maria Tak Bernoda, Tangerang",Gereja Katolik,Kota Tangerang,4.8,1573.0
Mixmi Tangerang,Restoran Indonesia,Kota Tangerang,4.6,1805.0
Eastern Kopi TM,Restoran China,Kota Tangerang,4.4,1264.0
Pondok Sate Tegal Ibu Rita,Restoran Sate,Kota Tangerang,4.5,737.0
Pasar Induk Tangerang,Pasar,Kota Tangerang,4.3,3912.0
WARUNG SATE BAROKAH BANG H. WAHAB,Restoran Sate,Kota Tangerang,4.6,1208.0
Sup Durian DOR!,Restoran Sup,Kota Tangerang,4.4,1222.0
Roti Bakar 88 Pasar Lama,Kafe,Kota Tangerang,4.4,2713.0
TELAGA SEAFOOD MODERNLAND,Restoran Seafood,Kota Tangerang,4.4,2730.0
Bambu Oju Seafood and Resto,Restoran,Kota Tangerang,4.2,3667.0
Taman Bambu (Bamboo Park),Taman,Kota Tangerang,4.5,1284.0
Waroeng Steak & Shake Kisamaun,Restoran Steak,Kota Tangerang,4.3,3572.0
Cafe 21 Tangerang,Restoran Seafood,Kota Tangerang,4.5,541.0
D'jajan Seafood Kisamaun Selatan,Restoran Seafood,Kota Tangerang,4.7,1817.0
Es Oyen Macan - Pasar Lama,Restoran Hidangan Penutup,Kota Tangerang,4.5,772.0
Pasar Anyar Tangerang,Pasar,Kota Tangerang,4.3,11930.0
Toko Kopi TUKU - Pasar Lama,Kedai Kopi,Kota Tangerang,4.5,639.0
Restoran Sederhana M Thoha,Restoran Padang,Kota Tangerang,4.5,1248.0
Sambel Gledeg Galeong Ibu Siti Nurkhotimah,Rumah Makan,Kota Tangerang,4.3,1176.0
Rumah Makan Pondok Lauk,Restoran Seafood,Kota Tangerang,4.5,4281.0
Soto Betawi H. Mamat Gading Serpong,Restoran soto,Kabupaten Tangerang,4.6,888.0
Sop Mak Garang - Tangerang,Restoran Indonesia,Kota Tangerang,4.9,4187.0
Amsterdam Waterpark,Taman Rekreasi Air,Kabupaten Tangerang,4.3,5415.0
Seafood Kepiting Montok New & Gubuk Sunda,Rumah Makan,Kota Tangerang,4.5,887.0
Restoran Simpang Raya - Km 13,Restoran Padang,Kota Tangerang,4.4,1075.0
"Spesial Soto Boyolali (SSB) Hj. Hesti, Cabang Tangerang Kota",Restoran soto,Kota Tangerang,4.6,1367.0
SOP djanda Cimone,Rumah Makan,Kota Tangerang,4.6,856.0
Steak 21 Tangerang City Mall,Restoran Steak,Kota Tangerang,4.5,1304.0
